List Price, Lowest Amazon Price, New Amazon Price
59.95,42.75,
44.99,29.04,
69.99,49.99,
59.99,49.81,
44.99,31.74,
69.99,94.95,
44.99,27.99,
45.99,,
44.99,30.34,
54.99,40.09,
49.99,35.56,
64.99,39.37,
34.99,24.21,
55,,
69.99,219.99,
55,44.37,
62.64,69.93,
54.99,35.97,
49.99,,
65,,
59.99,38.99,
39.95,27.5,
2,,
62.99,,
44.99,31.85,
64.95,45.88,
98.99,63.99,
39.95,,
59.99,43.61,
134.95,169.99,
59.51,64.95,
109.99,66.79,
54.99,38.06,
34.99,26.04,
14.99,11.88,
64.95,99.95,
65.99,40.6,
79.99,55.45,
79.95,42.99,
59.99,41.76,
59.99,,
24.99,17.55,
,,
34.99,26.67,
49.99,37.73,
49.99,37.3,
49.99,38.62,
64.99,45.9,
64.99,44.35,
39.99,30.13,
54.99,44.22,
59.99,43.46,
195,,
59.95,45.04,
49.99,39.82,
,,
49.99,39.37,
49.99,40.49,
40.95,40.99,
49.99,,
32.99,69.95,
65.99,43.77,
80,79.99,
74.99,50.33,
74.99,49.75,
87.99,149.95,
64.99,49.08,
34.99,24.83,
,,
39.99,28.4,
98.99,89.99,
,,
53.99,59.99,
49.99,38.56,
42,33.6,
149.99,,
59.95,,
19.99,,
18,20.82,
329.99,,
,,
44.99,33.76,
29.99,21.44,
35.99,,
65.99,43.5,
49.99,,
79.99,52.85,
44.99,31.84,
,,
39.99,29.19,
39.99,,
,,
49.99,40.43,
39.99,27.7,
29.99,23.29,
55,42.13,
80,64,
44.99,34.16,
,,
59.95,47.95,
,,
32.99,33.18,
,,
39.95,28.74,
25,,
43.99,28.11,
,,
30,24.65,
29.99,21.19,
60.99,,
49.99,38.13,
19.99,14.96,
24.95,18.08,
54.99,,
69.99,47.7,
,,
37.99,41.13,
49.99,99.99,
49.99,30.86,
49,36.16,
39.99,,
43.99,30.93,
,,
36.5,,
44.95,34.54,
49.99,33.5,
54.95,,
34.99,24.46,
27.99,18.56,
32.95,,
31.8,40.99,
144,99.98,
44.99,30.31,
39.99,49.99,
,,
59.95,41.28,
59.95,43.97,
59.99,40.32,
39.99,214.95,
98.99,199.49,
24.99,20.09,
29.99,22.03,
174.99,295,
,,
64.99,49.06,
49.99,38.52,
59.99,41.57,
49.99,43.96,
34.99,,
,,
54.99,36.32,
99.99,,
65.99,44.21,
49.99,48.95,
42.99,30.37,
59.99,43.18,
44.93,,
,,
87.99,57.08,
,,
,,
49.95,33.85,
34.95,27.95,
24.99,18.25,
34.99,,
49.99,34.35,
19.99,64,
44.99,39.95,
,,
34.99,26.5,
79.95,,
24.99,22.26,
44.99,33.76,
44.99,,
19.46,29.99,
98.99,67.19,
,,
38.99,28.92,
39.99,88.99,
49.99,,
1,,
49.99,37.34,
65.99,39.75,
,,
43,50,
29.99,21.89,
59.99,46.55,
19.99,15.18,
24.99,16.19,
,,
29.99,20.17,
25.99,23.46,
,,
,,
,,
,,
49.95,29,
54.99,39.02,
59.99,43.77,
,,
